"Reference","Value","Footprint","Datasheet","JLCPCB Part #","Qty"
"AE1","Antenna_Shield","wch-antenna-pretty:ANT-F-1-2.4G-1.6MM-FR4-WCH","~","","1"
"C1-C7, C11, C21-C23","0.1uF 20%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0402X5R104M250AT_C359190.html","C359190","11"
"C8, C16-C20","10uF 20%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A106MP5NUNC_C315248.html","C315248","6"
"C9","1.5pF 5%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05C1R5CB5NNNC_C170150.html","C170150","1"
"C10","1pF 5%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05C010CB51PNC_C307340.html","C307340","1"
"C12, C13","12pF 5%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05C120JB51PNC_C472446.html","C472446","2"
"C14, C15","15pF 5%","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05C150JB5NNNC_C86285.html","C86285","2"
"D1, D2","C784541","LED_SMD:LED_RGB_5050-6","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_TCWIN-TC5050RGBF20-3CES-AF51_C784541.html","C784541","2"
"H1, H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~","","2"
"J1","TC2050","Connector:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2050-IDC_Datasheet_7.pdf","","1"
"J2, J3","DNP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","2"
"J5","JST_PH_B2B","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","https://www.lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_span-style-background-color-ff0-JST-span-Sales-America-B2B-PH-K-S-LF-SN_C131337.html","C131337","1"
"J6","47590-0001","Connector_USB:USB_Micro-AB_Molex_47590-0001","https://www.lcsc.com/product-detail/USB-Connectors_MOLEX-475900001_C136001.html","C136001","1"
"L1","1.8nH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","https://www.lcsc.com/product-detail/Inductors-SMD_TDK-MLG1005S1N8BT000_C87530.html","C87530","1"
"R1-R3, R12-R15","10K 5%","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J103-TS_C2906885.html","C2906885","7"
"R4","510K 1%","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402F5103TS_C2909365.html","C2909365","1"
"R5","1M 1%","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J105-TS_C2906900.html","C2906900","1"
"R6, R7, R9, R11","15 5% 125mW","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J150TS_C2930246.html","C2930246","4"
"R8, R10","30 5% 125mW","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J300TSD_C2930273.html","C2930273","2"
"U1","CH32V208WBU6","Package_DFN_QFN:QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm_ThermalVias","http://www.wch-ic.com/downloads/CH32V208DS0_PDF.html","C5187528","1"
"U2","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","C424093","1"
"U3","HT7533-1","Package_TO_SOT_SMD:SOT-89-3","https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf","C14289","1"
"U4","74HC573PW,118","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","74xx/74hc573.pdf","C5944","1"
"U5","LIS3DHTR","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","https://www.st.com/resource/en/datasheet/cd00274221.pdf","C15134","1"
"U6","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C5250994","1"
"Y1","32MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","https://www.lcsc.com/product-detail/Crystals_Yangxing-Tech-X322532MOB4SI_C9009.html","C9009","1"
"Y2","32768Hz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","https://www.lcsc.com/product-detail/Oscillators_Yangxing-Tech-OK322532-768KJBA4SL_C725996.html","C725996","1"
