Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.508,-76.6485,-90,top
C2,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.54,-74.93,180,top
C3,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.54,-76.2,180,top
C4,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.5473,-86.868,0,top
C5,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.2801,-87.884,0,top
C6,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.9248,-87.8753,-90,top
C7,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.2964,-87.8753,-90,top
C8,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.2995,-77.8764,180,top
C9,1.5pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,139.695782,-71.12,0,top
C10,1pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.564317,-74.981398,180,top
C11,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7112,-82.4992,0,top
C12,12pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.5964,-83.0493,90,top
C13,12pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,116.1034,-84.0653,-90,top
C14,15pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,123.4694,-77.7153,90,top
C15,15pF 5%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.9764,-77.7153,-90,top
C16,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.8476,-109.6351,90,top
C17,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.6896,-109.4827,90,top
C18,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.6896,-101.0412,180,top
C19,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.5136,-95.2587,90,top
C20,10uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.5097,-91.5416,0,top
C21,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.2804,-105.4521,-90,top
C22,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.6655,-79.6036,0,top
C23,0.1uF 20%,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,122.8344,-95.2587,90,top
D1,C784541,LED_RGB_5050-6,152.032,-74.881,180,top
D2,C784541,LED_RGB_5050-6,118.364,-105.664,180,top
J2,DNP,PinHeader_1x02_P2.54mm_Vertical,120.4468,-73.5076,90,top
J3,DNP,PinHeader_1x02_P2.54mm_Vertical,143.256,-102.6668,180,top
J6,47590-0001,USB_Micro-AB_Molex_47590-0001,135.0668,-116.5178,0,top
L1,1.8nH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.125258,-73.0875,-90,top
R1,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.1053,-74.9808,180,top
R2,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.1187,-87.884,180,top
R3,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.8608,-105.5745,-90,top
R4,510K 1%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.1844,-96.9385,-90,top
R5,1M 1%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.3169,-96.3168,0,top
R6,15 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.3144,-80.6864,90,top
R7,15 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.2928,-81.1116,90,top
R8,30 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.8036,-81.0608,90,top
R9,15 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.416,-90.5604,-90,top
R10,30 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.5712,-90.5604,-90,top
R11,15 5% 125mW,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.8788,-90.5604,-90,top
R12,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.6736,-74.8671,-90,top
R13,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.7452,-78.4981,-90,top
R14,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.5532,-74.8671,90,top
R15,10K 5%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.0912,-95.2887,90,top
U1,CH32V208WBU6,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm_ThermalVias,133.8825,-81.6075,0,top
U2,MCP73831-2-OT,SOT-23-5,129.7123,-109.1032,0,top
U3,HT7533-1,SOT-89-3,135.2296,-96.3676,0,top
U4,"74HC573PW,118",TSSOP-20_4.4x6.5mm_P0.65mm,147.574,-84.582,0,top
U5,LIS3DHTR,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,122.047,-91.821,180,top
U6,USBLC6-2SC6,SOT-23-6,135.2804,-108.8136,90,top
Y1,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,119.8604,-83.6178,180,top
Y2,32768Hz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,119.8394,-78.2838,180,top
